cluster_file,voxel_size,vol_voxel_filled,n_voxels_filled,n_points,elapsed_sec
config1_leaf00cm_tol40cm_cluster_07_ndvi.las,0.018040259151405193,0.4028243687683231,68610,90680,2.1937833600004524
config1_leaf00cm_tol40cm_cluster_07_ndvi.las,0.02169673001665726,0.6492130500724438,63563,90680,1.2393313770007808
config1_leaf00cm_tol40cm_cluster_07_ndvi.las,0.026094308815904597,1.0063768500678048,56640,90680,0.7093359569989843
config1_leaf00cm_tol40cm_cluster_07_ndvi.las,0.031383206227714434,1.4189313508918635,45906,90680,0.4095402279999689
config1_leaf00cm_tol40cm_cluster_07_ndvi.las,0.03774407822333079,1.9636019517209125,36518,90680,0.24237241799892217
config1_leaf00cm_tol40cm_cluster_07_ndvi.las,0.045394196838653124,2.606701051538775,27867,90680,0.13959069399970758
config1_leaf00cm_tol40cm_cluster_07_ndvi.las,0.054594871662613426,3.4335075251360134,21100,90680,0.08597997799915902
config1_leaf00cm_tol40cm_cluster_07_ndvi.las,0.06566037554208358,4.4525745478107694,15729,90680,0.0529512409993913
config1_leaf00cm_tol40cm_cluster_07_ndvi.las,0.07896867938385171,5.666654560220667,11507,90680,0.03500475799955893
config1_leaf00cm_tol40cm_cluster_07_ndvi.las,0.09497436272859426,7.305776064173531,8528,90680,0.022885206000864855
config1_leaf00cm_tol40cm_cluster_07_ndvi.las,0.1142241410908933,9.22346673669219,6189,90680,0.016156096000486286
config1_leaf00cm_tol40cm_cluster_07_ndvi.las,0.13737554044175906,11.713170593213365,4518,90680,0.012378722998619196
config1_leaf00cm_tol40cm_cluster_07_ndvi.las,0.16521935670891194,14.553979070396123,3227,90680,0.010767121999379015
config1_leaf00cm_tol40cm_cluster_07_ndvi.las,0.19870666745714863,18.351329841656003,2339,90680,0.009423213999980362
config1_leaf00cm_tol40cm_cluster_07_ndvi.las,0.23898131840260367,23.17552302077938,1698,90680,0.008405242000662838
config1_leaf00cm_tol40cm_cluster_07_ndvi.las,0.28741899442183,29.32333449245345,1235,90680,0.007493636001527193
config1_leaf00cm_tol40cm_cluster_07_ndvi.las,0.34567420962707324,37.050440741973475,897,90680,0.007063429000481847
config1_leaf00cm_tol40cm_cluster_07_ndvi.las,0.4157368215753044,45.196636872832705,629,90680,0.006626029000472045
config1_leaf00cm_tol40cm_cluster_07_ndvi.las,0.5,54.5,436,90680,0.006419794000976253
config1_leaf00cm_tol40cm_cluster_08_ndvi.las,0.015,0.23878799999999997,70752,88865,4.471649847999288
config1_leaf00cm_tol40cm_cluster_08_ndvi.las,0.018040259151405193,0.39660087611572986,67550,88865,2.525158246000501
config1_leaf00cm_tol40cm_cluster_08_ndvi.las,0.02169673001665726,0.6414302150244567,62801,88865,1.4731536010003765
config1_leaf00cm_tol40cm_cluster_08_ndvi.las,0.026094308815904597,0.9689575413417667,54534,88865,0.8213921730002767
config1_leaf00cm_tol40cm_cluster_08_ndvi.las,0.031383206227714434,1.4092566784562526,45593,88865,0.473470687000372
config1_leaf00cm_tol40cm_cluster_08_ndvi.las,0.03774407822333079,1.954030749918888,36340,88865,0.277989066000373
config1_leaf00cm_tol40cm_cluster_08_ndvi.las,0.045394196838653124,2.6080106225267374,27881,88865,0.166319038000438
config1_leaf00cm_tol40cm_cluster_08_ndvi.las,0.054594871662613426,3.4632862870838754,21283,88865,0.10131536299923027
config1_leaf00cm_tol40cm_cluster_08_ndvi.las,0.06566037554208358,4.406715492769423,15567,88865,0.05989426099949924
config1_leaf00cm_tol40cm_cluster_08_ndvi.las,0.07896867938385171,5.672071541202889,11518,88865,0.038109551000161446
config1_leaf00cm_tol40cm_cluster_08_ndvi.las,0.09497436272859426,7.177273905446277,8378,88865,0.027161605999936
config1_leaf00cm_tol40cm_cluster_08_ndvi.las,0.1142241410908933,9.113184536253472,6115,88865,0.018657672000699677
config1_leaf00cm_tol40cm_cluster_08_ndvi.las,0.13737554044175906,11.321694550810705,4367,88865,0.013846888999978546
config1_leaf00cm_tol40cm_cluster_08_ndvi.las,0.16521935670891194,14.373576478882072,3187,88865,0.011136651000924758
config1_leaf00cm_tol40cm_cluster_08_ndvi.las,0.19870666745714863,18.26502602452979,2328,88865,0.00955710500056739
config1_leaf00cm_tol40cm_cluster_08_ndvi.las,0.23898131840260367,23.17552302077938,1698,88865,0.008642355000120006
config1_leaf00cm_tol40cm_cluster_08_ndvi.las,0.28741899442183,28.777231906764037,1212,88865,0.007463194000592921
config1_leaf00cm_tol40cm_cluster_08_ndvi.las,0.34567420962707324,35.43955201406159,858,88865,0.00699108299886575
config1_leaf00cm_tol40cm_cluster_08_ndvi.las,0.4157368215753044,42.32244692861441,589,88865,0.00658287499936705
config1_leaf00cm_tol40cm_cluster_08_ndvi.las,0.5,52.75,422,88865,0.006175435000841389
