cluster_file,voxel_size,vol_voxel,n_voxels,n_points,elapsed_sec
config1_leaf00cm_tol40cm_cluster_03_ndvi.las,0.28007267824676524,28.449982377508242,1295,101210,0.07511023599909095
config1_leaf00cm_tol40cm_cluster_03_ndvi.las,0.32373940143476265,33.82842954681402,997,101210,0.07551690299987968
config1_leaf00cm_tol40cm_cluster_03_ndvi.las,0.3742142957228954,40.66519361603927,776,101210,0.07550209799956065
config1_leaf00cm_tol40cm_cluster_03_ndvi.las,0.4325588374561865,47.913431412344806,592,101210,0.07830539899987343
config1_leaf00cm_tol40cm_cluster_03_ndvi.las,0.5,56.875,455,101210,0.07889099099884334
config1_leaf00cm_tol40cm_cluster_04_ndvi.las,0.01,0.08487600000000002,84876,100102,0.06945754200023657
config1_leaf00cm_tol40cm_cluster_04_ndvi.las,0.011559121134605051,0.12951620906869832,83859,100102,0.07181674200000998
config1_leaf00cm_tol40cm_cluster_04_ndvi.las,0.013361328140447326,0.1958286262003447,82097,100102,0.07172637099938584
config1_leaf00cm_tol40cm_cluster_04_ndvi.las,0.01544452104946379,0.2927405109449624,79462,100102,0.07444097799998417
config1_leaf00cm_tol40cm_cluster_04_ndvi.las,0.01785250896767095,0.4333928431445267,76170,100102,0.07373247900068236
config1_leaf00cm_tol40cm_cluster_04_ndvi.las,0.02063593137139315,0.6270859436166759,71360,100102,0.07500192699990293
config1_leaf00cm_tol40cm_cluster_04_ndvi.las,0.023853323044733008,0.8814664047249469,64947,100102,0.07570380000106525
config1_leaf00cm_tol40cm_cluster_04_ndvi.las,0.027572345053693506,1.2023272374342255,57359,100102,0.07502434499838273
config1_leaf00cm_tol40cm_cluster_04_ndvi.las,0.031871207644077165,1.5813051063080963,48845,100102,0.0758852390008542
config1_leaf00cm_tol40cm_cluster_04_ndvi.las,0.03684031498640387,2.02705,40541,100102,0.0757921449985588
config1_leaf00cm_tol40cm_cluster_04_ndvi.las,0.042584166356484814,2.55738101797546,33117,100102,0.07559862400012207
config1_leaf00cm_tol40cm_cluster_04_ndvi.las,0.0492235537330781,3.196106754763772,26798,100102,0.07611577399984526
config1_leaf00cm_tol40cm_cluster_04_ndvi.las,0.05689810202763908,3.9387822767713683,21383,100102,0.07812271200054965
config1_leaf00cm_tol40cm_cluster_04_ndvi.las,0.06576920536665974,4.808458602355775,16902,100102,0.07554240400168055
config1_leaf00cm_tol40cm_cluster_04_ndvi.las,0.07602342117599367,5.850370893537025,13315,100102,0.0751381810005114
config1_leaf00cm_tol40cm_cluster_04_ndvi.las,0.08787639344404101,7.103630902628869,10468,100102,0.07167155699971772
config1_leaf00cm_tol40cm_cluster_04_ndvi.las,0.10157738766918833,8.543882947369903,8152,100102,0.07544826199955423
config1_leaf00cm_tol40cm_cluster_04_ndvi.las,0.11741453286048854,10.259301631467617,6338,100102,0.07490492800025095
config1_leaf00cm_tol40cm_cluster_04_ndvi.las,0.13572088082974532,12.372499999999995,4949,100102,0.07480513299924496
